income,sex,university,hsgrade,grant,dropout
16807.67,female,pisa,95,yes,yes
4827.64,male,pisa,68,yes,no
8294.61,female,pisa,69,yes,no
8725.28,male,pisa,64,yes,no
15449.32,female,pisa,75,yes,no
12233.68,female,pisa,60,yes,no
8137.25,female,pisa,60,yes,no
7574.57,male,pisa,80,yes,no
7507.06,female,pisa,92,yes,no
9256.3,male,pisa,93,yes,no
12618.14,female,pisa,93,yes,no
7391.26,female,pisa,100,yes,no
7326.47,female,pisa,60,yes,no
8314.65,female,pisa,80,yes,no
13464.33,female,pisa,75,yes,yes
11675.2,male,pisa,94,yes,no
12392.75,female,pisa,83,yes,no
12353.56,female,pisa,83,yes,no
12353.56,female,pisa,82,yes,no
14930.62,female,pisa,78,yes,no
8595,male,pisa,82,yes,no
15625.61,male,pisa,83,yes,no
12115.99,female,pisa,100,yes,no
905.47,male,pisa,75,yes,no
12328.46,female,pisa,100,yes,no
9041.52,female,pisa,81,yes,no
13383.71,male,pisa,100,yes,no
16437.24,male,pisa,77,yes,no
2188.86,female,pisa,85,yes,no
1229.67,male,pisa,63,yes,yes
15913.23,male,pisa,73,yes,yes
4013.8,male,pisa,79,yes,no
13412.99,female,pisa,88,yes,no
1305.39,female,pisa,75,yes,yes
14703.7,female,pisa,70,yes,no
13626.94,male,pisa,100,yes,no
10685.75,female,pisa,100,yes,no
9012.6,female,pisa,100,yes,no
9400.16,male,pisa,75,yes,no
12618.47,male,pisa,75,yes,no
11594.63,male,pisa,72,yes,no
16242.54,female,pisa,100,yes,no
14704.41,female,pisa,72,yes,no
17283.42,female,pisa,60,yes,no
2974.52,female,pisa,82,yes,no
5639.22,female,pisa,70,yes,yes
13367.48,female,pisa,70,yes,yes
8691.14,female,pisa,81,yes,yes
14091.72,female,pisa,78,yes,no
1393.27,male,pisa,70,yes,no
8379.43,female,pisa,100,yes,no
3596.76,female,pisa,98,yes,no
15102.46,male,pisa,60,yes,no
16417.84,female,pisa,70,yes,no
9101.42,male,pisa,94,yes,no
10330.68,female,pisa,100,yes,no
7036.65,female,pisa,80,yes,no
19944.59,male,pisa,67,yes,no
7436.65,female,pisa,84,yes,no
15370.94,male,pisa,80,yes,no
10122.16,female,pisa,83,yes,yes
14034.8,male,pisa,92,yes,no
13978.29,female,pisa,72,yes,no
16437.5,female,pisa,88,yes,no
8920.22,female,pisa,60,yes,yes
3733.33,female,pisa,100,yes,yes
7708.14,female,pisa,100,yes,no
6289.05,female,pisa,83,yes,no
7720.33,female,pisa,100,yes,no
5456.34,male,pisa,82,yes,no
9663.06,female,pisa,67,yes,no
8510.98,female,pisa,70,yes,no
13796.3,female,pisa,100,yes,yes
8500.49,male,pisa,76,yes,no
10854.47,male,pisa,70,yes,yes
10814.59,female,pisa,88,yes,no
13874.52,female,pisa,88,yes,yes
322.04,female,pisa,77,yes,no
9612.11,female,pisa,77,yes,no
13880.67,female,pisa,63,yes,no
11521.66,male,pisa,70,yes,no
2826.32,male,pisa,75,yes,no
11038.37,female,pisa,61,yes,no
7590.16,female,pisa,63,yes,no
9118.75,female,pisa,70,yes,no
5058.39,male,pisa,88,yes,no
10697.56,female,pisa,100,yes,no
10745.85,female,pisa,100,yes,no
9318.07,female,pisa,90,yes,no
3219.28,male,pisa,64,yes,no
8139.22,male,pisa,86,yes,no
10224.66,female,pisa,67,yes,no
12352.54,female,pisa,86,yes,no
15935.03,male,pisa,60,yes,no
9016.26,male,pisa,60,yes,no
7908.21,female,pisa,90,yes,no
9339.24,male,pisa,60,yes,no
5622.81,female,pisa,90,yes,no
6224.55,female,pisa,65,yes,no
3409.22,female,pisa,100,yes,no
15904.91,female,pisa,100,yes,yes
8119.61,female,pisa,73,yes,no
12665.61,female,pisa,83,yes,no
947.9,female,pisa,70,yes,no
2183.66,female,pisa,100,yes,no
6547.19,male,pisa,76,yes,yes
5159.34,female,pisa,60,yes,no
8758.21,female,pisa,76,yes,no
5423.73,female,pisa,63,yes,yes
18991.7,female,pisa,68,yes,no
9746.97,female,pisa,90,yes,no
9339.49,female,pisa,98,yes,no
10561.99,female,pisa,92,yes,yes
10938.35,female,pisa,84,yes,yes
12288.73,male,pisa,92,yes,no
2260.63,female,pisa,88,yes,no
7757.05,female,pisa,71,yes,no
17773.89,male,pisa,60,yes,no
322.76,male,pisa,65,yes,no
14464.01,male,pisa,95,yes,no
11455.89,female,pisa,70,yes,yes
13895.07,female,pisa,74,yes,yes
14914.72,male,pisa,90,yes,no
