pcp,insure,smoke,obese,healthfood,male,lt55,white,edu,unemploy,hhinc,commute,compressor,logMortRate
241,23.66170415,18.7,32.4,10.5990309,47.36,71.8,66.2,13.96,9.88,32587,20,0,-0.597837001
396,19.40469376,27.8,34,8.63914139,51.02,69.66,86.08,14.11,7.92,41353,26,1,-0.673344553
162,24.27701021,20.3,33.1,7.332938357,48.59,71.96,68.67,14.44,9.41,38050,20,0,-0.597837001
413,20.92893117,23.2,35.7,7.765735893,49.13,71.23,94.61,14.84,7.81,36186,19,0,-0.634878272
191,22.48005801,25.7,34.9,2.650889358,51.29,60.59,95.69,12.32,10.52,31219,22,1,-0.597837001
186,20.54731692,27,38.5,8.555724861,49.91,70.56,80.06,7.92,8.25,31512,20,1,-0.653926467
1139,16.8536541,24.9,36.4,6.868046952,49.17,72.45,41.91,17.1,12.67,36799,21,0,-0.634878272
260,23.04997665,24.4,34.4,4.363783918,49.29,72.7,92.25,16.29,6.78,32553,20,0,-0.634878272
183,21.06539309,16.3,32.8,13.09281255,49.16,68.64,97.4,11.76,8.36,33481,24,1,-0.673344553
222,19.88530466,18.4,34.6,15.84247311,56.07,70.21,42.19,6.45,18.38,26986,21,0,-0.616186139
125,20.29082774,24.6,30.7,20.63181268,60.97,75.87,66.94,8.49,16.37,32615,25,1,-0.693147181
155,18.39609353,22.2,31.9,3.551866901,49.77,67.86,74.37,11.76,7.52,39494,24,0,-0.616186139
253,20.32215358,25.1,35.9,6.836103118,49.64,68.16,93.25,11.76,8.5,36062,26,1,-0.597837001
445,16.52038644,20.6,29,6.342031809,49.25,77.25,89.64,18.74,7.07,52805,26,1,-0.653926467
203,23.87175201,30.4,31.2,11.98001128,49.86,69.29,95.29,9.69,8.26,37351,31,0,-0.597837001
268,22.23376208,24.2,29.1,5.500449333,49.62,56.61,96.64,12.81,9.61,33293,24,0,-0.544727175
450,18.66706876,32.8,32.5,9.878698286,49.27,72.99,71.78,12.75,9.25,40829,20,1,-0.616186139
496,18.99623462,29.5,41.1,6.876866992,48.65,75.34,62.82,13.14,13.28,34424,18,0,-0.616186139
90,20.04337051,36.8,35.2,6.246559008,48.1,64.83,56.41,12.07,12.71,27571,20,0,-0.597837001
134,23.97888302,20.1,28.2,9.857647806,49.44,60.89,94.41,13.63,4.71,32293,28,0,-0.755022584
119,19.2633015,34.9,34.5,10.85166496,49.15,66.83,67.34,14.21,11.87,31614,27,1,-0.616186139
159,23.69192777,39.2,37.1,15.17745818,50.14,61.19,95.38,11.32,3.48,32500,38,0,-0.634878272
471,17.67066377,23.3,37.1,15.43100447,47.56,67.56,57.35,15.9,11.14,32220,23,0,-0.527632742
119,19.01581722,32.4,30.9,5.169892861,49.96,68.02,94.53,14.41,6.55,42030,33,0,-0.673344553
502,18.25888127,24.2,37.4,24.05540053,47.2,71.36,36.48,12.85,18.64,27183,19,0,-0.562118918
150,24.35182146,20.3,27.9,9.118749329,49.33,69.42,89.62,12.82,7.5,32045,26,0,-0.693147181
225,20.32572328,19.4,36.9,5.482350352,49.12,70.55,89.52,8.01,11.45,33238,24,0,-0.579818495
331,24.62663822,28.4,32.8,18.84879622,48.72,65.24,92.64,12.59,8.03,33558,21,1,-0.693147181
605,21.1342743,22.8,27,5.908888868,49.91,74.76,90.8,21.13,7.64,40818,19,0,-0.597837001
